,state,date,value
1401,NY,20160630,47637.50669475874
1402,NY,20160701,37936.37807017312
1403,NY,20160702,35617.61604531522
1404,NY,20160703,25938.965957113407
1405,NY,20160704,31095.87130430716
1406,NY,20160705,35263.52517481975
1407,NY,20160706,37153.76318375419
1408,NY,20160707,57636.91079846282
1409,NY,20160708,25927.630619594827
1410,NY,20160709,39148.18947659103
1411,NY,20160710,39076.087289409465
1412,NY,20160711,31222.176562856293
1413,NY,20160712,30897.863360456573
1414,NY,20160713,52980.94611136613
1415,NY,20160714,47425.474353509504
1416,NY,20160715,34521.62182561899
1417,NY,20160716,29697.805218665748
1418,NY,20160717,29961.957766786163
1419,NY,20160718,55360.35726591752
1420,NY,20160719,55614.80759268456
1421,NY,20160720,24733.007442016788
1422,NY,20160721,48729.60764378792
1423,NY,20160722,48927.82199417439
1424,NY,20160723,44896.33705106376
1425,NY,20160724,41321.734235939024
1426,NY,20160725,38880.994785774616
1427,NY,20160726,28885.415327294544
1428,NY,20160727,50931.42279607004
1429,NY,20160728,57772.041075873545
1430,NY,20160729,48616.89794254434
1431,NY,20160730,45948.99194122738
1432,NY,20160731,41227.660098294895
1433,NY,20160801,30176.950425270177
1434,NY,20160802,51885.55692313657
1435,NY,20160803,41162.629001110814
1436,NY,20160804,39719.547251272976
1437,NY,20160805,34022.31027939744
1438,NY,20160806,55528.20327861344
1439,NY,20160807,38293.31736159297
1440,NY,20160808,35926.229109652784
1441,NY,20160809,51161.10874254546
1442,NY,20160810,70847.32110892971
1443,NY,20160811,52988.93749234232
1444,NY,20160812,43073.66442522485
1445,NY,20160813,40311.948261692596
1446,NY,20160814,41036.891088378085
1447,NY,20160815,29209.205823414035
1448,NY,20160816,38083.29368626203
1449,NY,20160817,29213.443201309463
1450,NY,20160818,53881.33250226196
1451,NY,20160819,53852.37756148374
1452,NY,20160820,50349.94823967175
1453,NY,20160821,32620.392924345655
1454,NY,20160822,40742.85880086492
1455,NY,20160823,38252.97442910743
1456,NY,20160824,44592.95046074169
1457,NY,20160825,36619.47718159363
1458,NY,20160826,36804.851241133634
1459,NY,20160827,28908.4153087466
1460,NY,20160828,37220.443218526714
1461,NY,20160829,25225.125931175466
1462,NY,20160830,48914.21292021334
1463,NY,20160831,37630.6925016093
1464,NY,20160901,27716.99803081435
1465,NY,20160902,43170.30947168867
1466,NY,20160903,29334.98824033
1467,NY,20160904,25895.35509128606
1468,NY,20160905,43539.59634429091
1469,NY,20160906,44406.9728463414
1470,NY,20160907,30003.584506215186
1471,NY,20160908,44883.873056277145
1472,NY,20160909,47984.52419645392
1473,NY,20160910,43360.735562531234
1474,NY,20160911,52024.544132833405
1475,NY,20160912,45431.79188204442
1476,NY,20160913,32432.422903889845
1477,NY,20160914,51467.610964030304
1478,NY,20160915,43913.97185921828
1479,NY,20160916,56408.62344147321
1480,NY,20160917,56621.054700492874
1481,NY,20160918,77379.43531817253
1482,NY,20160919,51759.846210567106
1483,NY,20160920,61328.78783039784
1484,NY,20160921,68228.70682172841
1485,NY,20160922,55484.93329062208
1486,NY,20160923,40522.23352594314
1487,NY,20160924,47268.73261965209
1488,NY,20160925,70004.87669575945
1489,NY,20160926,91762.4994007026
1490,NY,20160927,68257.0052560383
1491,NY,20160928,53936.827103902644
1492,NY,20160929,56255.88123672899
1493,NY,20160930,46846.20559546417
1494,NY,20161001,47423.969945564495
1495,NY,20161002,50038.18237454668
1496,NY,20161003,71293.92869718185
1497,NY,20161004,52463.6186579396
1498,NY,20161005,53494.28397714002
1499,NY,20161006,48969.273746041035
1500,NY,20161007,47830.90738604717
1501,NY,20161008,53993.395684617644
1502,NY,20161009,65265.68916489898
1503,NY,20161010,50574.38204090128
1504,NY,20161011,38960.983431649416
1505,NY,20161012,41398.61306064941
1506,NY,20161013,59031.39702612622
1507,NY,20161014,54493.99029933255
1508,NY,20161015,40972.37743055957
1509,NY,20161016,49644.1232392821
1510,NY,20161017,52462.046403064196
